Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dennis Sarfate",,2,4,,5.855425050703905,45,1,,,,55.33330154418945,,58,39,36,9,39,,,51,8.295185488497198,6.343377138262563,1.3076923076923077,1.4638562626759763,,,,,1.7530130553033296,,0.6872037914691943,,,,-0.039992519069061094,,,,,,,,,132.96643142700196,2.4030091774085505,144.66650772094727,2.614456460824335,,,,,,,,,,,,,,,,,,,"Dennis Sarfate","2174",430610
"Dewon Day",,2,5,,6.305385620787831,40,4,,,,55.66669845581055,,66,42,39,7,42,,,37,5.982032512029481,6.790415283925357,0.8809523809523809,1.1317358806542261,,,,,1.940118652550102,,0.6720977596741344,,,,-0.04023348394868109,,,,,,,,,102.23356857299805,1.8365301231966058,135.33349227905273,2.4311391915308835,,,,,,,,,,,,,,,,,,,"Dewon Day","5542",457440
"Brian Fuentes",,4,3,,4.041913859479379,63,0,,,,55.66669845581055,,52,27,25,6,23,,,51,8.245504273337934,3.718560750721029,2.217391304347826,0.970059326275051,,,,,1.3473046198264598,,0.7207207207207208,,,,-0.04023348394868109,,,,,,,,,235.93356857299804,4.238325158807241,233.33349227905273,4.191617228104124,,,,,,,,,,,,,,,,,,,"Brian Fuentes","429",150118
"Bob McCrory",,1,3,,6.952091838304532,52,0,,,,55.66669845581055,,77,47,43,8,43,,,30,4.850296631375255,6.952091838304532,0.6976744186046512,1.2934124350334013,,,,,2.1556873917223354,,0.6709558823529412,,,,-0.04023348394868109,,,,,,,,,44.33356857299805,0.7964109566905788,105.33349227905273,1.8922173436002996,,,,,,,,,,,,,,,,,,,"Bob McCrory","5924",455970
"Harvey Garcia",,2,4,,5.173649740133605,46,0,,,,55.66669845581055,,56,35,32,9,31,,,50,8.083827718958759,5.01197318575443,1.6129032258064515,1.4550889894125765,,,,,1.5628733589986932,,0.6989247311827956,,,,-0.04023348394868109,,,,,,,,,162.6335685729981,2.921559443696849,168.33349227905273,3.0239532242545257,,,,,,,,,,,,,,,,,,,"Harvey Garcia","3100",460648
"Scott Linebrink",,4,4,,4.68862007699608,58,0,,,,55.66669845581055,,60,31,29,9,22,,,46,7.437121501442058,3.5568841963418536,2.090909090909091,1.4550889894125765,,,,,1.4730530510102626,,0.7348703170028817,,,,-0.04023348394868109,,,,,,,,,171.23356857299808,3.0760503734369493,187.33349227905273,3.365270394610562,,,,,,,,,,,,,,,,,,,"Scott Linebrink","564",276530
"Freddy Garcia",,3,4,,5.335326294512781,11,11,,,,55.66669845581055,,63,36,33,9,19,,,36,5.820355957650306,3.0718545332043283,1.894736842105263,1.4550889894125765,,,,,1.4730530510102626,,0.6628242074927954,,,,-0.04023348394868109,,,,,,,,,152.43356857299807,2.73832601540045,176.33349227905273,3.167665717036015,,,,,,,,,,,,,,,,,,,"Freddy Garcia","1077",150119
"Henry Alberto Rodriguez",,2,3,,5.303571428571429,54,0,,,,56,,55,36,33,7,44,,,55,8.839285714285714,7.071428571428571,1.25,1.125,,,,,1.7678571428571428,,0.7062780269058295,,,,-0.040474379900842905,,,,,,,,,163.30000000000007,2.91607142857143,167,2.982142857142857,,,,,,,,,,,,,,,,,,,"Henry Alberto Rodriguez","6371",469159
"Wesley Wright",,3,5,,5.303571428571429,56,0,,,,56,,58,36,33,9,34,,,55,8.839285714285714,5.464285714285714,1.6176470588235294,1.4464285714285714,,,,,1.6428571428571428,,0.7052896725440806,,,,-0.040474379900842905,,,,,,,,,160.9000000000001,2.8732142857142873,171,3.0535714285714284,,,,,,,,,,,,,,,,,,,"Wesley Wright","5960",449079
"Scott Nestor",,1,3,,6.230772746821266,50,0,,,,56.33330154418945,,57,42,39,9,53,,,52,8.307696995761688,8.467460399526336,0.9811320754716981,1.4378706338818308,,,,,1.9526638237901404,,0.6981519507186857,,,,-0.04071527585300472,,,,,,,,,102.966431427002,1.8278075064752273,109.66650772094727,1.9467438391645078,,,,,,,,,,,,,,,,,,,"Scott Nestor","sa225795",451518
"Chris Schroder",,3,4,,4.633138709174788,50,0,,,,56.33330154418945,,55,31,29,6,35,,,51,8.14793359199704,5.591719131762675,1.457142857142857,0.9585804225878871,,,,,1.5976340376464786,,0.7230392156862746,,,,-0.04071527585300472,,,,,,,,,197.066431427002,3.498222650281156,200.66650772094727,3.562129366118169,,,,,,,,,,,,,,,,,,,"Chris Schroder","3553",456744
"Eduardo Sanchez",,1,2,,4.633138709174788,52,0,,,,56.33330154418945,,56,31,29,6,29,,,47,7.508879976938449,4.633138709174788,1.6206896551724137,0.9585804225878871,,,,,1.508876591110563,,0.7049608355091385,,,,-0.04071527585300472,,,,,,,,,204.466431427002,3.6295836711543115,210.66650772094727,3.7396442591900003,,,,,,,,,,,,,,,,,,,"Eduardo Sanchez","2966",500674
"Kam Mickolio",,3,5,,5.272192324233379,48,0,,,,56.33330154418945,,61,36,33,7,32,,,47,7.508879976938449,5.112428920468731,1.46875,1.118343826352535,,,,,1.6508885055680278,,0.6850961538461539,,,,-0.04071527585300472,,,,,,,,,170.16643142700198,3.020707587917931,188.66650772094727,3.349111494431972,,,,,,,,,,,,,,,,,,,"Kam Mickolio","9513",501874
"Joe Beimel",,3,3,,3.9940850941161963,73,0,,,,56.33330154418945,,59,27,25,4,21,,,33,5.272192324233379,3.355031479057605,1.5714285714285714,0.6390536150585914,,,,,1.4201191445746475,,0.7123655913978494,,,,-0.04071527585300472,,,,,,,,,217.266431427002,3.856802734286255,232.66650772094727,4.130177023948028,,,,,,,,,,,,,,,,,,,"Joe Beimel","979",346847
"Kevin Whelan",,2,3,,5.9112459392919705,39,2,,,,56.33330154418945,,53,40,37,7,57,,,49,7.828406784467745,9.106514014584928,0.8596491228070176,1.118343826352535,,,,,1.9526638237901404,,0.6986027944111777,,,,-0.04071527585300472,,,,,,,,,119.96643142700196,2.1295828246973394,117.66650772094727,2.0887557536219723,,,,,,,,,,,,,,,,,,,"Kevin Whelan","3462",460128
"David Patton",,3,6,,6.194114172254354,41,0,,,,56.66669845581055,,64,42,39,10,36,,,42,6.670584493196996,5.717643851311711,1.1666666666666667,1.588234403142142,,,,,1.7647048923801576,,0.6744186046511628,,,,-0.040956240732624716,,,,,,,,,105.93356857299804,1.8694148672805857,129.33349227905273,2.282354465734557,,,,,,,,,,,,,,,,,,,"David Patton","7503",456029
"Jon Link",,2,3,,4.605879769112212,55,0,,,,56.66669845581055,,54,31,29,7,31,,,48,7.623525135082281,4.92352664974064,1.5483870967741935,1.1117640821994994,,,,,1.499999158523134,,0.7180851063829787,,,,-0.040956240732624716,,,,,,,,,195.83356857299802,3.455884565530347,195.33349227905273,3.447059694705461,,,,,,,,,,,,,,,,,,,"Jon Link","3894",456899
"Victor Garate",,1,3,,5.808142755277077,53,0,,,,57.33330154418945,,63,40,37,7,40,,,44,6.90698057384301,6.279073248948191,1.1,1.0988378185659333,,,,,1.7965126240046212,,0.6759656652360515,,,,-0.04143803263694834,,,,,,,,,142.36643142700194,2.483136808670847,163.66650772094727,2.8546499732760346,,,,,,,,,,,,,,,,,,,"Victor Garate","4036",466339
"John Axford",,3,4,,5.1802354303822575,47,0,,,,57.33330154418945,,54,36,33,6,50,,,53,8.319772054856353,7.848841561185239,1.06,0.9418609873422287,,,,,1.8139544941405885,,0.7112970711297072,,,,-0.04143803263694834,,,,,,,,,166.06643142700196,2.89650913089327,164.66650772094727,2.872091843412002,,,,,,,,,,,,,,,,,,,"John Axford","9059",446099
"Jose G. Valdez",,2,6,,5.965119586500782,42,2,,,,57.33330154418945,,61,41,38,9,39,,,45,7.063957405066715,6.122096417724486,1.1538461538461537,1.4127914810133428,,,,,1.7441870135967197,,0.6750572082379862,,,,-0.04143803263694834,,,,,,,,,127.966431427002,2.23197387871292,142.66650772094727,2.488370700420724,,,,,,,,,,,,,,,,,,,"Jose G. Valdez","3217",451990
"Pedro Feliciano",,4,3,,3.9244207805926195,83,0,,,,57.33330154418945,,54,27,25,6,24,,,56,8.790702548527467,3.7674439493689147,2.3333333333333335,0.9418609873422287,,,,,1.3604658706054413,,0.7327586206896552,,,,-0.04143803263694834,,,,,,,,,250.06643142700196,4.361626222314515,248.66650772094727,4.337208934833247,,,,,,,,,,,,,,,,,,,"Pedro Feliciano","1601",408230
"Mike MacDougal",,1,2,,5.150286178210607,58,0,,,,57.66669845581055,,61,36,33,5,41,,,43,6.710978959486548,6.39884040323136,1.048780487804878,0.7803463906379707,,,,,1.7687851521127336,,0.6947368421052632,,,,-0.04167899751656834,,,,,,,,,169.63356857299814,2.941620954821729,186.33349227905273,3.231214847887266,,,,,,,,,,,,,,,,,,,"Mike MacDougal","612",213680
"Fernando Rodney",,4,3,,4.369939787572636,56,0,,,,57.66669845581055,,53,30,28,6,34,,,56,8.739879575145272,5.306355456338201,1.6470588235294117,0.9364156687655648,,,,,1.5086696885667434,,0.7251908396946566,,,,-0.04167899751656834,,,,,,,,,225.13356857299812,3.9040481699418925,220.33349227905273,3.820809898591511,,,,,,,,,,,,,,,,,,,"Fernando Rodney","494",407845
"Yasuhiko Yabuta",,2,5,,5.6184940125933895,41,0,,,,57.66669845581055,,66,39,36,7,27,,,40,6.242771125103766,4.213870509445042,1.4814814814814814,1.092484946893159,,,,,1.6127158739851395,,0.6490384615384616,,,,-0.04167899751656834,,,,,,,,,168.03356857299806,2.913875305376822,196.33349227905273,3.4046251569179264,,,,,,,,,,,,,,,,,,,"Yasuhiko Yabuta","3277",493161
"Dan Giese",,3,3,,4.213870509445042,26,4,,,,57.66669845581055,,59,29,27,6,17,,,36,5.6184940125933895,2.6531777281691005,2.1176470588235294,0.9364156687655648,,,,,1.3179183486330173,,0.6952662721893492,,,,-0.04167899751656834,,,,,,,,,220.53356857299806,3.8242794277877876,231.33349227905273,4.011561238525237,,,,,,,,,,,,,,,,,,,"Dan Giese","2656",435500
"LaTroy Hawkins",,3,2,,3.5895933969346654,60,0,,,,57.66669845581055,,55,25,23,5,19,,,41,6.39884040323136,2.9653162844242886,2.1578947368421053,0.7803463906379707,,,,,1.2832362868268852,,0.7313432835820896,,,,-0.04167899751656834,,,,,,,,,247.23356857299808,4.28728495289965,248.33349227905273,4.306358763877359,,,,,,,,,,,,,,,,,,,"LaTroy Hawkins","729",115629
"Jonah Bayliss",,3,7,,6.086701846976172,49,0,,,,57.66669845581055,,67,42,39,10,30,,,42,6.5549096813589545,4.682078343827825,1.4,1.5606927812759415,,,,,1.6820799975974035,,0.6626506024096386,,,,-0.04167899751656834,,,,,,,,,123.53356857299806,2.1421994301903844,152.33349227905273,2.6416197971830218,,,,,,,,,,,,,,,,,,,"Jonah Bayliss","4560",435058
