retro_id,city,nickname,season,vegas_name
BAL,Baltimore,Orioles,2013,Baltimore Orioles
BAL,Baltimore,Orioles,2014,Baltimore Orioles
BAL,Baltimore,Orioles,2015,Baltimore Orioles
BAL,Baltimore,Orioles,2016,Baltimore Orioles
BAL,Baltimore,Orioles,2017,Baltimore Orioles
BAL,Baltimore,Orioles,2018,Baltimore Orioles
BAL,Baltimore,Orioles,2019,Baltimore Orioles
BAL,Baltimore,Orioles,2020,Baltimore Orioles
BAL,Baltimore,Orioles,2021,Baltimore Orioles
BAL,Baltimore,Orioles,2022,Baltimore Orioles
BAL,Baltimore,Orioles,2023,Baltimore Orioles
BAL,Baltimore,Orioles,2024,Baltimore Orioles
BOS,Boston,Red Sox,1990,Boston Red Sox
BOS,Boston,Red Sox,1991,Boston Red Sox
BOS,Boston,Red Sox,1992,Boston Red Sox
BOS,Boston,Red Sox,1993,Boston Red Sox
BOS,Boston,Red Sox,1994,Boston Red Sox
BOS,Boston,Red Sox,1995,Boston Red Sox
BOS,Boston,Red Sox,1996,Boston Red Sox
BOS,Boston,Red Sox,1997,Boston Red Sox
BOS,Boston,Red Sox,1998,Boston Red Sox
BOS,Boston,Red Sox,1999,Boston Red Sox
BOS,Boston,Red Sox,2000,Boston Red Sox
BOS,Boston,Red Sox,2001,Boston Red Sox
BOS,Boston,Red Sox,2002,Boston Red Sox
BOS,Boston,Red Sox,2003,Boston Red Sox
BOS,Boston,Red Sox,2004,Boston Red Sox
BOS,Boston,Red Sox,2005,Boston Red Sox
BOS,Boston,Red Sox,2006,Boston Red Sox
BOS,Boston,Red Sox,2007,Boston Red Sox
BOS,Boston,Red Sox,2008,Boston Red Sox
BOS,Boston,Red Sox,2009,Boston Red Sox
BOS,Boston,Red Sox,2010,Boston Red Sox
BOS,Boston,Red Sox,2011,Boston Red Sox
BOS,Boston,Red Sox,2012,Boston Red Sox
BOS,Boston,Red Sox,2013,Boston Red Sox
BOS,Boston,Red Sox,2014,Boston Red Sox
BOS,Boston,Red Sox,2015,Boston Red Sox
BOS,Boston,Red Sox,2016,Boston Red Sox
BOS,Boston,Red Sox,2017,Boston Red Sox
BOS,Boston,Red Sox,2018,Boston Red Sox
BOS,Boston,Red Sox,2019,Boston Red Sox
BOS,Boston,Red Sox,2020,Boston Red Sox
BOS,Boston,Red Sox,2021,Boston Red Sox
